epoch,train_total,train_recon,val_mae,val_rmse,grad_norm_mean,grad_norm_max,per_coeff_mae_mean,per_coeff_mae_max,gaussian_coverage
107,0.4901811345057054,0.4901811345057054,0.9895258247852325,2.2088012099266052,,,1.0920855,1.3284299,
108,0.48899048837748443,0.48899048837748443,0.9883905351161957,2.207947611808777,,,1.0899493,1.3117973,
109,0.49072457443584094,0.49072457443584094,0.9889922440052032,2.2127161622047424,,,1.084992,1.3013849,
110,0.489295168356462,0.489295168356462,0.9850232899188995,2.1958890557289124,,,1.0858473,1.3190011,
111,0.4855738769878041,0.4855738769878041,0.9763063192367554,2.18503338098526,,,1.0744101,1.292199,
112,0.4892082837494937,0.4892082837494937,0.9856732189655304,2.1948145031929016,,,1.0870132,1.3065434,
113,0.48587114160711115,0.48587114160711115,0.976409524679184,2.179463505744934,,,1.0747753,1.2875072,
114,0.4871059303933924,0.4871059303933924,0.9855780899524689,2.1984845995903015,,,1.0845652,1.3062367,
115,0.48677115548740735,0.48677115548740735,0.9766500890254974,2.1799448132514954,,,1.0764376,1.3021048,
116,0.4870626059445468,0.4870626059445468,0.9675640165805817,2.1686957478523254,,,1.0644845,1.275986,
117,0.4806108610196547,0.4806108610196547,0.979602038860321,2.1794991493225098,,,1.07843,1.2968464,
118,0.48029039122841577,0.48029039122841577,0.9654567241668701,2.1591948866844177,,,1.0631311,1.2794547,
119,0.47704374248331244,0.47704374248331244,0.9749137461185455,2.1733739972114563,,,1.0747125,1.2933468,
120,0.4796138785102151,0.4796138785102151,0.967435747385025,2.1663049459457397,,,1.0647006,1.2817394,
121,0.4773304760456085,0.4773304760456085,0.9650754928588867,2.1541764736175537,,,1.0666503,1.2920698,
122,0.4781185469844125,0.4781185469844125,0.9628161787986755,2.1546629667282104,,,1.0593742,1.2716024,
123,0.4760954407128421,0.4760954407128421,0.9666884541511536,2.1559194922447205,,,1.0658474,1.2853342,
124,0.48060932755470276,0.48060932755470276,0.9613763988018036,2.13954496383667,,,1.0619655,1.2759055,
125,0.47668425332416187,0.47668425332416187,0.9550940096378326,2.133950650691986,,,1.0554668,1.2863275,
126,0.4727942943572998,0.4727942943572998,0.9606249928474426,2.143718898296356,,,1.0588987,1.2800521,
127,0.47346857461062347,0.47346857461062347,0.9555240273475647,2.125105082988739,,,1.0573342,1.2746269,
128,0.47749313712120056,0.47749313712120056,0.9608806073665619,2.127598464488983,,,1.0611544,1.2680014,
129,0.4752568169073625,0.4752568169073625,0.952723503112793,2.1191468238830566,,,1.0496905,1.2618347,
130,0.467314443805001,0.467314443805001,0.9628452956676483,2.133421838283539,,,1.0594153,1.278528,
131,0.47335221008820966,0.47335221008820966,0.9601956307888031,2.118962347507477,,,1.0569365,1.2708718,
132,0.47183088010007684,0.47183088010007684,0.9541154205799103,2.1130346059799194,,,1.0495622,1.2594335,
133,0.4744470011104237,0.4744470011104237,0.9569812715053558,2.1184569001197815,,,1.0547526,1.2662543,
134,0.46924269741231744,0.46924269741231744,0.9585152268409729,2.1156736612319946,,,1.0576602,1.2725023,
135,0.4753562645478682,0.4753562645478682,0.9536610841751099,2.109688103199005,,,1.0519279,1.2551086,
136,0.46873434294353833,0.46873434294353833,0.9483507871627808,2.1010534167289734,,,1.0448408,1.2485316,
137,0.4681307619268244,0.4681307619268244,0.9575484097003937,2.1190896034240723,,,1.051476,1.2528448,
138,0.46781137043779547,0.46781137043779547,0.9512662887573242,2.103258728981018,,,1.0500007,1.2496009,
139,0.46779233759099786,0.46779233759099786,0.9507777392864227,2.1114593148231506,,,1.0424887,1.2611692,
140,0.466153930534016,0.466153930534016,0.9549184739589691,2.110716998577118,,,1.0489467,1.2376853,
141,0.4666803479194641,0.4666803479194641,0.9436308741569519,2.0905138850212097,,,1.0405226,1.2364837,
142,0.46418147737329657,0.46418147737329657,0.942066878080368,2.0897527933120728,,,1.0374389,1.226931,
143,0.4609636203809218,0.4609636203809218,0.9408846497535706,2.0863154530525208,,,1.035839,1.2296218,
144,0.46164245768026874,0.46164245768026874,0.9501976370811462,2.101219117641449,,,1.0417898,1.2362581,
145,0.4648126092824069,0.4648126092824069,0.9538877010345459,2.1028698086738586,,,1.0473071,1.2497852,
146,0.46362215280532837,0.46362215280532837,0.9416889250278473,2.08077871799469,,,1.0377115,1.2299423,
147,0.4629000723361969,0.4629000723361969,0.9467779099941254,2.0931771993637085,,,1.037104,1.2297304,
148,0.46144948493350635,0.46144948493350635,0.9396593868732452,2.0756844878196716,,,1.0356914,1.2441559,
149,0.4601093964143233,0.4601093964143233,0.9450365304946899,2.089761972427368,,,1.0353204,1.2246772,
150,0.46501143954016944,0.46501143954016944,0.9462505877017975,2.0889177918434143,0.12821339277641422,0.18111569014559065,1.0379083,1.2460014,
151,0.46136542612856085,0.46136542612856085,0.9331860840320587,2.0658963918685913,,,1.0284917,1.226433,
152,0.459806198423559,0.459806198423559,0.9320481717586517,2.0646985173225403,,,1.0274981,1.2106665,
153,0.455640735951337,0.455640735951337,0.9407494068145752,2.078514039516449,,,1.031858,1.2300099,
154,0.4573309909213673,0.4573309909213673,0.9291934072971344,2.056500494480133,,,1.0242893,1.2217216,
155,0.4584848934953863,0.4584848934953863,0.9348220229148865,2.0684658885002136,,,1.0238589,1.2142226,
156,0.4559370252219113,0.4559370252219113,0.9325515329837799,2.0631805062294006,,,1.0215031,1.2028253,
157,0.4529967389323495,0.4529967389323495,0.9203924536705017,2.0440778136253357,,,1.0138102,1.2025405,
158,0.4548472491177646,0.4548472491177646,0.9345815181732178,2.0622844099998474,,,1.0262338,1.2122033,
159,0.4532761519605463,0.4532761519605463,0.9190639853477478,2.0385870933532715,,,1.015029,1.1962792,
160,0.4510197043418884,0.4510197043418884,0.9187193214893341,2.0376736521720886,,,1.0133362,1.2015904,
161,0.45311095497824927,0.45311095497824927,0.9373934268951416,2.0616968274116516,,,1.0328318,1.2311803,
162,0.4603428542613983,0.4603428542613983,0.922365814447403,2.0402930974960327,,,1.0198358,1.202092,
163,0.451242595911026,0.451242595911026,0.9297149181365967,2.042773127555847,,,1.0251918,1.2152637,
164,0.4575808048248291,0.4575808048248291,0.916337788105011,2.0238462686538696,,,1.0149324,1.2024897,
165,0.45367243073203345,0.45367243073203345,0.9189106523990631,2.0232012271881104,,,1.0193416,1.2117383,
166,0.4514787088740956,0.4514787088740956,0.9142202138900757,2.018796682357788,,,1.0126158,1.2095997,
167,0.4503119940107519,0.4503119940107519,0.9178499579429626,2.023455262184143,,,1.0187182,1.2209241,
168,0.45071292465383356,0.45071292465383356,0.9175491631031036,2.018795132637024,,,1.0140609,1.2263299,
169,0.45058187571438874,0.45058187571438874,0.9115869700908661,2.0104687809944153,,,1.0059301,1.2080317,
170,0.45025967196984723,0.45025967196984723,0.9172819256782532,2.018237054347992,,,1.0155742,1.2218438,
171,0.4512768631631678,0.4512768631631678,0.9163062572479248,2.0153998732566833,,,1.0153677,1.219243,
172,0.449283548376777,0.449283548376777,0.9132483005523682,2.010732114315033,,,1.0112354,1.2148173,
173,0.44795873490246857,0.44795873490246857,0.9097937345504761,2.0021561980247498,,,1.0077163,1.207643,
174,0.44982718608596106,0.44982718608596106,0.9121016561985016,2.0053696036338806,,,1.00799,1.2204885,
175,0.44777096943421796,0.44777096943421796,0.9115437269210815,2.003602623939514,,,1.0076419,1.2126954,
176,0.45045930418101227,0.45045930418101227,0.9149416387081146,2.0028953552246094,,,1.0126326,1.2093846,
177,0.44553828510371124,0.44553828510371124,0.9032405316829681,1.9912996888160706,,,0.9996747,1.203327,
178,0.44621445644985547,0.44621445644985547,0.90920090675354,1.9977701902389526,,,1.0018022,1.1955702,
179,0.4469106007706035,0.4469106007706035,0.9087391197681427,1.9943761825561523,,,1.0037011,1.2055211,
180,0.4476780755953355,0.4476780755953355,0.9084717631340027,1.9914299249649048,,,1.0016338,1.1882786,
181,0.4445713839747689,0.4445713839747689,0.9110026657581329,1.9944239258766174,,,1.0058093,1.2096542,
182,0.4466330192305825,0.4466330192305825,0.9120931029319763,1.9946789145469666,,,1.0078396,1.2134242,
183,0.44681575894355774,0.44681575894355774,0.9068452715873718,1.9856974482536316,,,1.0026908,1.2095572,
184,0.44682597843083466,0.44682597843083466,0.9107101261615753,1.9892705082893372,,,1.0063993,1.21397,
185,0.4471185965971513,0.4471185965971513,0.9047616124153137,1.9796591401100159,,,1.001398,1.202554,
186,0.4436510774222287,0.4436510774222287,0.9053528904914856,1.9783934950828552,,,1.0023699,1.2085594,
187,0.44681938128037885,0.44681938128037885,0.902354508638382,1.9728727340698242,,,0.9990207,1.1979401,
188,0.44395189664580603,0.44395189664580603,0.9046729505062103,1.9730983972549438,,,0.9996262,1.2061517,
189,0.44287714904004877,0.44287714904004877,0.9037988185882568,1.9720213413238525,,,1.0002857,1.1994795,
190,0.44130501692945306,0.44130501692945306,0.9100790321826935,1.977125346660614,,,1.0026908,1.2051935,
